Sample_ID,Herb_Name,Adulterant_Present,Adulterant_Type,Adulteration_Level,Spectral_Data
97,Ginkgo Biloba,1,None,7,"0.8389907704506976,1.084815591866313,0.45820478464494085,1.9564166609914462,0.22211278755921682,1.0700606517927844,1.6456326774275518,1.5076484592840123,1.3067607706754978,1.52027252499645,0.00037576671491090785,1.217175402463588,0.5665349665335198,0.8644181468262466,0.5303168307733621,0.07364854528094256,0.895927848019999,1.0682092406434351,0.9930721319256259,1.4997075734393828,1.6389519816438272,0.4282165970901699,1.7350983460152527,1.5685542261534706,1.651898446630728,1.5232417180068303,1.0280322251625007,0.3284107616913772,0.6848188225090834,1.1494723837978256,0.24042034406340518,1.1181055073456112,1.8988366642072925,0.26431210294914265,0.8269070954971638,1.089272243395109,1.9546569534735203,1.0393607319221954,0.6093375745732421,1.4949040801051843,0.7059616592851778,0.2671261183944049,1.7681950174559857,0.8962386439264425,0.692197392925485,0.6013633768131692,1.0867017279659834,1.3290370692536857,0.6044328268278627,0.48398013801042383,1.7914977464461643,1.664026746927683,0.08095488210863833,1.925736482311253,1.8640078793194794,0.9091005648583288,1.7096207000436123,0.3558934846231159,0.4592576716396799,1.6242903254996988,0.9555382009913926,1.3266772234439317,1.8468746835782086,0.4444085292056612,1.6730801738088907,0.6912540202883162,0.025776457406751607,1.5681146856230717,0.7869892668299356,1.6427308958171387,0.10531605614517026,0.9717351692303546,1.3313750311271442,1.6954559519161503,0.8502135322955024,0.8152273886380792,0.4697107522731103,1.43149669590591,1.353836956896955,1.6212971572921853,1.87667411119397,1.7911854859687817,0.3107243709842782,1.1732340931030636,0.8887989446308262,0.08730998844402471,1.333125318718882,0.5381987775494734,1.3152416287259636,1.6783169051527742,1.674787278908866,0.9011084453047644,1.4428309565558672,0.8804117937130327,0.18673673499801202,1.428031442267709,1.6464295491481034,0.06710404039078388,1.8350701859820122,0.8400063505212798"
98,Echinacea,1,Metanil Yellow,3,"1.3828037179065347,1.934871690562669,0.006975024560273324,1.2909969335397553,0.4499070651025363,0.9348155868585601,0.1169874237015347,1.9374635394770048,0.024003744734826915,0.8456673554731273,1.8377904826499154,1.876324428408081,0.020485613480998532,0.23701761010168743,0.9441297694720849,0.14453357557248392,1.8274617154181114,1.8776084443606225,1.7572599096973966,0.8162812049799708,0.5007989641578663,1.1825243316133587,0.7891995863744123,1.0079906950319408,0.15813730389064173,1.3258027369954144,1.103318229660382,0.2410505448284581,1.736988523842832,0.641810813087025,1.3404201460264624,0.28463618297007875,1.2777466772347712,0.08942656683920469,1.5971967528749065,1.2015215926563474,0.14639382599647255,0.08262572239674704,0.4550467444484696,1.9923713160734795,0.19270679288507586,0.9842717119828437,0.26224758841802465,1.3100193710417856,0.3939178214372996,1.193669658284974,0.2986049803060191,0.3254877294485903,1.3522419703800475,0.18758757025577055,1.1723155589097338,1.2443730641096955,1.7365413321203154,0.7122760698727273,1.0478933938252157,0.62601416788469,1.7321756725111785,1.4893387547990584,0.9608915851420814,0.01520729081358052,0.8195515278967507,0.6159041962511955,0.6166624743096425,0.26525634311320445,1.582499792395745,0.18485896739839625,1.658550129458835,1.2488767448463474,1.9176165488162116,0.17250232304447555,0.5029277116274067,1.538685551193889,0.19982021187125687,1.8558675993070104,0.07603456808445141,1.4079670609869392,1.7158488044099562,1.876828909144383,1.237136649317652,1.4300329608307452,0.07579432547913667,1.1925511732081875,0.4601433307796652,1.4168152997872536,0.46087394852627117,0.7834958385149733,0.538977427387245,0.06116171465468012,0.4063008949174467,0.2197514559736118,0.2766414645431612,0.9458111332446697,0.9449329065819416,0.3618758547059533,1.568748997897282,0.6819551587851935,0.8293587079912532,1.8513888289283413,1.099619008100129,1.2558589444634185"
99,Echinacea,1,None,14,"0.34715754346318217,1.3640804114662914,1.1446436763213572,0.5185993819757755,0.09234443682734628,0.24517402251887765,1.1855489174816292,0.4197490118444407,1.6048453451981397,0.32516814600542565,0.24543909439466027,1.7230929727420032,1.168209217373446,0.5142976355209692,0.6354953841648101,1.435801420427357,0.5365566638258168,1.7003470262123397,0.44317882413423293,0.7248008492474864,0.5710366944864258,0.04012538484457684,0.043868301895073625,0.09608635502938534,1.2831969310447562,1.8780982558439707,0.16543775034015495,0.9000278464561389,1.7305461046002004,1.2679088320759573,1.442200279601857,1.7573825264570324,0.6322905877487683,0.49029186134287084,1.6895064752018414,1.8280926537250481,1.3570788393325106,1.638516463948938,1.6427702953435055,0.846666629553577,0.47655867609862135,0.48083035984888345,0.046686691320789064,0.6004232061862875,0.5327250649801909,1.7056362825393523,1.2853313847694814,0.9656454756842594,1.3078690986892394,1.6177413134325644,1.460980469710758,0.8990740124610752,0.5207244823243824,1.253808740272667,0.0874207630594166,0.20988531345086714,1.587249528003324,1.4207695539961145,1.511885867283096,1.213918072519574,0.6362543069678164,1.8657003669530656,0.09558225607346471,0.9231413563396116,1.4067768118559711,1.3058087391221187,0.12781952207046676,1.2544017140147403,1.3099674930812375,1.4372581497441161,1.680150604897519,1.7747547115953013,1.1161319974755572,0.35136840092264987,0.3025461238567333,1.5576008847661444,1.7015922274829136,0.4522960668134721,0.4425766009130161,1.7692209329778854,1.126990500966912,0.660811914333983,0.28981073553092496,1.8456532898006157,1.1571415055120828,1.5650169771215685,1.5491664752045726,0.027997959438606834,0.09753248984567353,1.8828393029660533,0.9493555705844585,0.2621863043550139,0.22546931895441857,1.9902156924506849,0.9542893966495776,1.7647381259912,0.4617037266248014,0.17806570590582105,1.0844322025013995,1.1638907535396184"
100,Turmeric,0,NotPresent,0,"0.6688394295817656,0.5336149971982351,0.03714371321807963,0.008032090706105222,0.78522938296262,0.5429253909905444,0.7686392328870435,0.41989293528309724,0.39713465573050544,0.310285805531353,0.03737207780617702,0.7211487341963251,0.9473771602964347,0.34460849158692575,0.38184368420264403,0.16708267874225657,0.6985450929344175,0.11786869675159006,0.3885490812564357,0.26570540858050495,0.1300320600960857,0.1484520945370721,0.757485445112103,0.016447964634059287,0.5385476697799156,0.2684476365629558,0.7869020192534782,0.6691769406655074,0.08147496475314275,0.8152287396615339,0.4380985023693289,0.3511977194423235,0.38017162447594144,0.7072608347070422,0.5696629605488621,0.45506489391753024,0.36601690897122796,0.8874405466391491,0.2078929971489203,0.2636514314495313,0.03678160771047145,0.9457532517925316,0.04591817260513753,0.04856836899493999,0.8913161147963049,0.8310684735772201,0.8728112342707909,0.6506286157834213,0.34337016116967334,0.07206108909847853,0.46648063036160803,0.8035654085046531,0.008043705041461235,0.7009901782903124,0.4084284333292856,0.8341812219143646,0.6453405863743359,0.2889197378429771,0.43971463160409974,0.8179529944438977,0.4523308991444114,0.8491778055158489,0.5393556490467102,0.6790724222164664,0.4997137214077162,0.37411747153090347,0.69710282815071,0.6134226190013432,0.6938055241788844,0.4922472171152491,0.3946256517748423,0.917066150804022,0.2682437133105874,0.5644422188253178,0.424608127148948,0.008138839457651703,0.8763035765153371,0.23986723349810102,0.9966802950607621,0.34729838394742574,0.2948907989899787,0.6277656602595023,0.34259013839468444,0.3010590594157504,0.22851268137357827,0.9236181798571675,0.2525740396810091,0.725112408941701,0.6708461338238949,0.3454833901887939,0.9187132553627451,0.6317097838337157,0.026082629551474668,0.047330270502166205,0.9207033368142803,0.260114505589491,0.7798473106864214,0.8403834365374784,0.2544045636530925,0.20393092501298782"
101,Ginseng,1,Talc,50,"0.015978747478060384,0.288601877664018,0.69873835946955,1.7273490695050238,1.8772936812818917,1.4386573848861213,0.21902639792310818,1.6399112047404727,1.6360175029874051,1.2487993547046734,1.031321036544313,0.2676130053647299,1.0871506412033274,0.11023502674867558,0.42585501114245994,1.1386546395906487,1.6361671196417213,0.7723672683913871,0.17523450388624173,0.25887727917024916,1.7855436753237723,1.3749032624064854,1.3005059232065013,1.9361592116210387,1.9400903108627632,0.10410598277398875,0.5841927632257571,0.6224706929797477,0.4881525629714534,0.386277883094601,1.55823486302284,0.4610582436105415,0.4251315843079799,0.043509794483098,0.9592069824353133,0.570847943886599,1.0710714069451697,0.7404835099864102,1.3007746404891538,0.2273498919904815,0.5418191565179087,0.37474225367569547,0.4740190281873713,0.883975900867864,0.32079729737574336,1.878697977359177,0.38609302831352066,1.9228764844879347,1.0642419850159033,0.7932933954343941,1.185956162542979,1.8102841147476079,1.7552945049012132,1.291326976872358,0.6531242315957217,1.6544662407198965,1.3597643516946352,1.2749416522939458,1.9372602826504253,0.18454255527998065,0.7860445776199954,1.9061825357009934,1.2182283696012157,1.3350365570484686,1.8641008624705342,0.03281452431701237,0.28231010603326556,0.9866722720945835,0.35479160249246844,1.3285689860962924,1.91314780744475,0.34761275764540933,1.73713727543716,1.5561396388521773,0.38605978497020366,0.6675237316652427,1.1731920565041862,1.277620410354112,0.08532231770269139,1.009020236783156,0.04667217027320181,0.45618092335880434,0.04141968981596511,0.8268026526301593,1.6021098349131893,0.7150078633762167,1.5852666989825346,1.4194851492010951,1.0870361840319596,0.15623663262816234,1.0178212519623093,0.5756244899085425,0.5379559374185658,0.4361597852996315,0.22331291420094845,1.5755097875319675,0.7804818435308265,0.5840817811904198,1.6402131839143395,1.1591272567541644"
102,Ginkgo Biloba,0,NotPresent,0,"0.04060455136314345,0.22096264319098435,0.3838355568611185,0.9122314336947588,0.5306080235218127,0.03603402638442588,0.5165181162418184,0.03736898154803503,0.5132262240557556,0.06952956652474807,0.7972966721365953,0.35230637140229415,0.6252298182150654,0.3816227818780453,0.7675609625378595,0.8450522470767421,0.24278383542157633,0.3358455709196875,0.16059904461462426,0.313823777176111,0.8822582144541956,0.5079623329023943,0.9430404201514552,0.4047726211280892,0.4772230886913037,0.08212210548909826,0.8870942570293625,0.6409605715324808,0.2187104146980967,0.9116392423576815,0.8531448257038723,0.5415707913474409,0.9124864704717899,0.6995072787808833,0.772970576059582,0.5284065347679255,0.9916444452545765,0.9061694883864473,0.9992926023407412,0.291846393478955,0.8244025947526006,0.3552409040875202,0.5624864240129201,0.1523157442368268,0.2967163315618703,0.8393537437741692,0.6339953677218155,0.040070849156942256,0.7874460794091586,0.58371652121447,0.49895246073077393,0.6199677653067971,0.2788550338409692,0.7745048169244932,0.9703824303168718,0.17097190853536604,0.2625208755924694,0.3252451417553299,0.04557591541658701,0.20490952540164953,0.42512797101279487,0.6003933369213109,0.36296807434910505,0.7058981949392568,0.8893726392029974,0.3487430823810441,0.673966099619455,0.8968330342628622,0.9801656637848845,0.6388403749051589,0.4772164132049891,0.22240624894914485,0.20764709613464938,0.8190180920301235,0.731831116607608,0.9155238036957356,0.2978811939137762,0.019290412363797915,0.21980574798298136,0.03161731735245432,0.6869338836651601,0.9102326548369395,0.6526178398366171,0.8894479890109781,0.20222151484662265,0.4110548604850497,0.1369631791350303,0.6962845557396429,0.2791252580412755,0.196033090935955,0.13079994867565403,0.20624345284582124,0.46826030810572017,0.18626008993721443,0.8660618938739456,0.002318265994740054,0.5420126092803849,0.43550246248335456,0.9291773559169161,0.31812052321251916"
103,Ginseng,0,NotPresent,0,"0.831273263733565,0.5900088244909005,0.7784436912322928,0.1778290701340629,0.8890340273460929,0.775595721355329,0.422687599408227,0.9013059784879788,0.6177959025335344,0.5759970940021529,0.4471509420582309,0.710721119151082,0.09218901599390938,0.9392535357396887,0.5415905356402604,0.16717965688537917,0.9937908107161095,0.9309087364483022,0.056286953620696134,0.6247503002420188,0.451827255209477,0.46240725490249956,0.22483331117370042,0.9569449847734484,0.5831798278801,0.04756422190029341,0.3709742358207927,0.1732837780062244,0.7211981749100439,0.3567280107427411,0.7526152160754266,0.8963411596602562,0.32703895901638325,0.3477178704633588,0.4076222080910812,0.7932522064052059,0.39096222055499563,0.12662489571117508,0.39659852504207027,0.4035042187204513,0.2141063733528692,0.691764741020673,0.32002336236197804,0.24538460206243273,0.3316400651677688,0.46837551160749313,0.13532889114560165,0.2440767509779418,0.8583667557629435,0.6352289422775842,0.8749620847020761,0.9621272983275762,0.6474724422685234,0.4228644662903187,0.25126294937776905,0.41846929968858293,0.3544874918583537,0.9528037372046692,0.002229799305327518,0.3333189081269001,0.7587418049291429,0.462280154391555,0.5561711918600175,0.7100745253476476,0.887936064713171,0.18343337729428633,0.3832193856309106,0.6346719524153703,0.3118107618920085,0.4912871522364458,0.9680228589104669,0.8773507589531129,0.2826476753893514,0.8944658059474175,0.5984145822171681,0.19494382767674512,0.1272938217618651,0.7810837350920713,0.11855008153221658,0.7169283060142015,0.20012545923031388,0.9187636258139841,0.6010054635558306,0.2574826120077667,0.03350858118957789,0.8395184936960384,0.32236590407022625,0.41617613479273774,0.6430295194688488,0.5988700467298388,0.5402107889716886,0.45930479761058374,0.6613727098027083,0.7351250519330628,0.349372664783862,0.8233894835218721,0.6001035484141538,0.31531907242479085,0.18072645633003181,0.8206333177683308"
104,Ginkgo Biloba,1,Lead Chromate,22,"1.4485035822381702,1.3816661593504418,0.7461955431279561,1.3516270367628542,1.2517155301156657,1.0011305850096754,0.78243562675931,0.5208302002375456,0.5872133788018414,0.03180117717006237,1.4017069735149108,0.6954017478481493,0.48553149889055613,0.8363703273202308,0.4733575551632381,1.1396684116081202,0.18677725239848963,0.01698809340717733,1.8446737684910017,1.8607816450083488,0.4750659608323584,0.4376891307108075,1.6073400877865385,1.9953385310139902,1.9151837568207444,0.1704964529215487,1.464807670020674,1.5277517104868141,1.6698912009995277,1.5053548314486216,0.9448676010153088,1.1897596286695116,0.34598971646696564,1.4724118358922507,1.8766909501585223,0.2559185676703739,0.14589225265390238,0.4991026168502255,1.4957122241119447,1.0349375527750313,1.9784742392046695,0.6922961418737341,0.32639601308405175,0.6841296559195367,0.2269382637398436,1.6906271380561988,0.9315532778919826,1.755509875857883,1.5095486798644167,0.4093860929729778,1.4906526389387778,0.06292392661412793,0.3541356869554506,1.5690065812698684,1.3376174855541563,0.9577161600420636,0.8911301635132396,0.35095707828196576,0.9010581859013613,1.5660002571729716,0.6876863349194628,0.7673459533058447,0.5573901492764843,0.4800705098074267,0.48531900941789674,1.2847128889731403,0.31268325195111246,1.8322490896296113,0.4052972390739249,1.8214931734941304,1.7460370866320527,0.842264185586276,1.814868394295517,1.0609625490386156,0.3757075743644993,1.0641143469238763,0.6731084025689824,1.6341165568807734,0.7949618918516077,1.6338376243735047,1.9475591458752823,1.480252278074451,1.618512261693983,0.4309113772499338,1.9986051863548235,1.1599145891169473,0.024745662580158756,0.23021388308971447,1.992094061176531,0.7288660684216581,0.5093086637947242,0.1986927370500029,1.8460990374291457,0.1754993690683564,0.5726853325127037,0.09206217778809744,1.5438799636874692,0.4906601567320259,1.9881578301574754,1.5332289479961991"
105,Ginseng,1,Chicory,23,"0.9922625136575955,0.8679715595495108,1.5621357978569617,0.2356873378308686,0.021236232328637028,0.5640598726695498,1.2484791199471796,0.881362867459724,0.5719614381290481,0.9728262094952882,1.3056587385536946,0.9029600357503542,1.3037484652831721,0.35012582747645005,1.7755405665231914,1.3828369423562696,1.645145908889414,0.4649850026806326,0.3040881064746277,1.3657852834450863,0.6641589546839368,0.26508508215523996,1.4213478329680809,0.0039328283915056605,0.5705653630515277,0.8860422298585484,1.6087112346252568,0.9585439121626806,1.770865357031311,1.1011999202060392,0.0030742474426976862,0.9090794910837972,1.5456204281850952,1.4086764707036696,1.005428486154774,1.2829273478405154,1.4837767398626467,0.7071459417355446,1.0954237625567653,0.8788407918096448,1.8895130142454646,0.4693311101797675,0.11153450263653708,0.8244261155155197,0.8719183260962533,1.3807259784511128,0.9729453590492341,0.47168265272160936,0.5638502819427389,0.9315401878342568,1.161272751714471,0.7543795289988375,1.0826635993416835,1.9097450247285617,1.129616329569986,1.3073812202703783,1.457322151513303,1.0682601943213392,0.9450399917809196,1.612848200679317,1.9176485094655855,1.4723775417272498,1.5348205071997876,1.356143816162505,1.6126996497361104,0.9988807679861853,0.530706503836966,0.9340736640545388,0.009501181016887017,0.519095627528509,0.8904969477668154,0.052689176242741276,1.5180592616714117,1.9550812228564194,1.392305138087092,0.8748278374825129,1.9200424290532978,0.8608565016752168,0.6682355529299087,0.8841870510845233,1.1827808015402042,0.7792750621316049,1.9167643030120702,1.8986502737074236,0.7299351855341096,1.1715325110638088,0.22064030175322458,1.3152203649721856,0.585580812918596,1.9398947134557238,0.3842850659142347,1.747119118110152,0.5823360367266053,1.1975488132604386,1.8356030125407474,0.3938751971454648,0.363099678408757,0.10732489686152458,0.35878665263296683,0.8169317587739566"
106,Ginkgo Biloba,1,Talc,21,"0.9723790536455301,0.7032104050303905,0.3584029858487252,1.8875468966762823,1.3390757292416684,0.4512326752042344,0.18878602529565613,0.28703071885313003,0.3851670929271853,1.7969737327847288,1.2301025621745525,0.6890696453405862,1.3156302940814024,1.466186396558612,1.3247972545445794,1.579409041651051,0.9530020840722693,0.5385509557756023,0.4559956489235599,1.8659661049214,0.7807133466133915,1.1750858102467185,1.3958349195831112,0.4947681128148873,1.637499483712694,0.19481789108992875,0.453472665589586,0.9323736219144811,1.4264366110872613,0.43159128222877907,0.6149647355648926,0.8415882074763366,1.3709558112940785,1.283466880437988,1.008702365694757,0.7924753522898174,0.7357435231407163,1.2545640965831815,0.07190096505542498,0.8907506806632823,1.8963532741270555,0.12210348114169967,0.23979530579470332,1.234683307946042,1.6267756237173658,1.9449817204120805,0.9760000786992518,1.0745192334189144,0.7286106256798099,0.2902190484565492,1.8354505400122578,0.5014390180830517,0.5840120274329559,1.4009251426845426,0.9211170741324337,0.9774699974450651,0.045534044942418195,1.8848292314268498,0.9998519246185003,1.3732108522273685,0.664779711288378,0.4366537634705663,1.571202658783315,0.7407884373517877,0.3818949831637861,0.27148782399055094,0.9127579042290979,1.2309259101043861,1.7569485121189592,1.911781334167653,1.1350972638683199,1.2802403308596224,0.8617680141682107,1.7183337968386885,1.6617148482413453,0.5075404758836985,0.9377837044319879,1.262856346855932,0.4652568545813458,0.10882939306110351,0.9449754473540399,1.885340424259517,0.7196405921848024,1.296122121010136,0.18242228784223924,0.9602006125985998,1.1687549349382789,0.35833293851932857,0.17467137043502445,1.0061868839466208,1.6448231621027178,0.5910225593052418,0.09160512219575723,1.5187294056413925,0.23000002149070187,1.9540509153272847,0.18413688021194052,1.0271731775379047,1.6114110922509008,0.4878153469347184"
107,Ashwagandha,1,Metanil Yellow,47,"1.2945464113477565,1.714539489778318,0.8542384624515875,0.0342573802648527,0.8635125405439252,0.2735671667915125,1.2726458188697507,1.653463481348842,0.4659384866978946,0.6268826913042818,0.7373620090121609,1.546798533825478,1.1851235225543433,0.6620752812830983,1.4815490763751695,0.08580303754093377,1.77429856402645,0.3472020465074481,0.9243756646814243,0.9415768210508721,1.5017236912989333,1.6737755177083475,0.8891174984756476,1.655172209775448,1.3159395142857544,0.8031729954947229,0.3870726394850226,1.052163734698974,0.7714030165590633,1.0533999751753935,0.9779813208831662,1.9710732879031725,0.9792227061370551,1.8125378830020131,1.411278318687857,0.2362365477160402,0.20646920612263187,0.4150505669218605,0.3421927322343905,1.9705456347795813,1.9000058242063278,1.8870161918313544,0.5694220695922494,0.47334886773093077,1.8316252961555644,1.5773940172404861,0.9746686866095879,0.26043248212691816,1.3078669246339911,1.6980980665293106,0.14690444830939597,0.5392828953906255,0.7565610860614616,0.25068784266999034,1.5112489136265914,1.5869381662280915,0.1081243191533805,1.4582861244925112,1.599019042801419,1.5872292478332226,1.2503517546585305,0.5156462781032427,1.6590531061995002,1.7484415319659508,0.26195241633577404,0.1618454470777746,0.2697481949985152,0.518626478620259,1.7763636709254327,1.4684191325401812,0.3483544445788025,0.9753193600274082,0.5956778130899685,1.3255776918065614,0.32708818607554724,1.275673286662317,1.2900868809101902,1.007240023446302,1.482996997770471,0.8999148348435688,0.3898002036831718,1.956614748403591,1.027889179323033,1.0609917462689913,1.9325477575095016,0.7532780400300703,0.1285691516286145,0.53930934900593,0.881147730927017,1.9929361729168553,0.8895312267473066,1.8640555601053668,1.4333730969490268,0.7986659864204413,1.0214151476396307,0.6482916136356007,1.0793448081326151,1.6197805244097956,0.7527113411136703,1.7079471667807957"
108,Ginkgo Biloba,1,Lead Chromate,45,"1.229441800317398,0.5028923628656774,0.836622113993541,1.6464983881312358,0.43708807419763573,1.8680898137025568,0.41112294846683506,0.3445684657323489,1.0125108709793187,0.20420803792433917,1.315476572085898,0.8951297515830752,0.40895391062879205,1.726332288022787,1.3752650166676994,1.360292831393221,1.0579109826870672,1.466929196533489,0.7807737310668892,0.152405161813276,0.5929941869654634,1.9959246347647894,0.1503915675497891,0.5256302662171386,1.3207084691093118,1.3618863967548747,0.8350231197573346,1.5404475558053485,0.9473316908722129,0.4188037028296141,1.0909853429856824,1.8359678442380607,0.44154461802729017,0.35365523549675437,1.8450674432370275,0.9894165346799966,0.37118898372535236,1.5481561748684718,1.4646916376963994,1.6733103622543684,1.600848223292828,1.6000583110180302,1.111431528820111,1.7993279665254465,0.2460785167284847,0.9806374236326145,0.21709814151809792,0.19770450644183213,0.9242221980348049,0.14629313036818936,1.8565079059968812,0.22517130909262573,0.6640944790483747,0.6422676570579873,0.43158168977687095,1.7244363373377736,0.891634587030524,1.1465161932951928,1.3037483842451123,1.6403043745190733,0.9534199093215376,0.3415578043903351,0.3299495290340073,1.9786205803516814,1.9168397406519382,1.923071095598869,0.266443962824094,0.7062956176351374,0.44937762717097485,0.14516214424869633,1.151285468676426,0.3052687675845749,1.461852237827668,1.0306674363325712,0.8332273650100457,1.4282280337721676,0.7252295614083795,0.33153615358679644,0.2704326417655456,1.8807039514875268,0.4923386775912537,0.3551108937907521,1.618216094576192,1.0728266624639815,1.6507674299005068,0.9801480701720617,1.6199929582573203,1.9249671869945588,0.6752043565050467,1.1155064452960817,0.892471758508748,0.37578268809421966,0.2642598066812807,0.7568579717310293,1.0156482620088942,1.9444343847619803,1.7474444574449408,1.6224374375709887,1.0195626372319775,0.7829153707058283"
109,Echinacea,1,Chicory,36,"0.26096981693584964,0.760757213935551,0.9264319023692227,1.4949298082183546,0.47103521736260157,0.4821517436911156,1.3762397109201574,0.6277865197091392,0.720569012370738,1.6825881154659421,0.8964497225575998,0.6085965351769866,0.2787173465957731,0.2501140128085504,1.2129350426791314,0.7216516210866368,0.3776232493140894,1.154589905855583,1.0629788672426093,0.6329847756764049,1.5213614526559958,1.5951808731755066,0.8462335760383173,0.489406577883746,0.7602961213680359,1.6500207498795931,1.0174042089374453,0.3367368047453805,0.6219388084436557,1.3634268463223869,0.14213516201837173,0.11635271072226638,1.1733224873641832,1.2818172837596225,0.7680796493607691,0.9099694704305967,1.943931068143206,1.754430365307055,1.3601283149598329,0.6448535565690676,1.6593042760571695,0.014416975748647198,1.908272357730906,1.4392800961853758,0.7636342887801955,1.8531080277725602,1.7738924371827753,1.2485239300280606,0.8323961486330129,0.8190481845960258,0.4328569345552342,1.1117461944948475,1.419418459197007,0.8858648935454747,0.0439030126415354,0.07273547360095178,1.35007044937509,0.7921912698013704,1.6864028016438368,1.8412423183197044,1.5508088548591703,1.549379135368482,0.5565850349913988,1.837802144272973,0.04352349015920476,1.4304124211560383,1.2537910324446166,0.7357564702311219,0.19141748576320183,0.073848920806177,0.8637092116047538,0.9054069878064954,1.8739013689595128,0.009425415984082752,0.2047634932996334,1.777148983085141,0.16402646968720624,1.8660084880348309,1.5125467382101947,0.14135057397991369,0.23418295213148155,0.6677288590867574,1.3804407668904404,0.5652141176904573,0.7853711986663048,1.4912871909491434,0.4221461275466438,0.5261257882566279,0.7139341035021303,1.9229858993409745,1.7399755313272682,1.575751435343772,0.9887966172838745,0.6203484850090892,0.44763409989957137,0.2840699859551352,1.0181751853696075,0.38227879308920687,1.117458211743959,0.40879617468770557"
110,Ginkgo Biloba,0,NotPresent,0,"0.33628002528413414,0.27354597893350896,0.9011763543955206,0.6497885544202886,0.8038162318920016,0.3804074257961374,0.43136894476638576,0.07541498090158527,0.20319131012032476,0.016057050799667794,0.26113961233655425,0.8451822638142527,0.1324213931182192,0.9012194531058509,0.5328603528199747,0.6711232218812148,0.11739611091873658,0.6287516227000836,0.7894465574442492,0.28222905448444413,0.29312562513657303,0.9590244770708889,0.2148075845343601,0.2937728103766414,0.24907006618783545,0.3879590758424559,0.05525907217071613,0.5021981479424951,0.13222977147502168,0.8191947235439083,0.9448820374776261,0.3100836283439047,0.26575805822403,0.3499669608553817,0.27754543683518684,0.8232766670387234,0.2662338440319577,0.27493440083589293,0.8890243906648124,0.7723495552316434,0.020667306858273338,0.21176330558781642,0.6681449672958036,0.7064596976721433,0.9053474404354709,0.9597711291858889,0.6928476263319785,0.5605150408000295,0.6491524654500995,0.12215638034365772,0.7948071453445313,0.8867112054987203,0.9285601041520876,0.5374218460516864,0.6460340279856215,0.04091578034015542,0.2888940383935009,0.5989642645298527,0.39026227371328037,0.40609258800152526,0.7159015717453082,0.7997997016587167,0.007748700261261732,0.6030014587710919,0.8199600156197862,0.2844229594577493,0.9817758718919062,0.7546426126437319,0.3235856286434228,0.2788741489747172,0.2607560342412386,0.527574460182696,0.34098294463611034,0.08751194344547297,0.3342900126019406,0.4218816733517944,0.3137779054792136,0.2494300173223054,0.9073838649447857,0.058813470645646015,0.000592492539448819,0.8921217160768278,0.29478496067662174,0.21055396599347032,0.22668717673973726,0.6406864390828745,0.37905070475689673,0.451302171149941,0.828599562880341,0.31441193718592764,0.9309716257442566,0.604896446487173,0.36243256154681147,0.20847083671672773,0.28943246822419944,0.2638284084437936,0.8196296614152442,0.24655377193627204,0.20293623118859572,0.6063183312388101"
111,Turmeric,1,Chicory,21,"0.6827515398242447,0.30405295900442186,1.8124554530988572,1.735507377675496,1.6703679079975091,1.2949035804961946,0.42705762250811174,0.6847058750340282,1.7145438379422617,1.8360303751032412,1.0003443297789805,0.7632532298271673,0.9106352062214651,1.3709073292874336,1.4520247734722602,0.1581643338953258,0.9719768236570019,0.16274067488215493,1.632613774150068,1.5014893663317037,1.9728296108922363,1.6833568204054346,1.3438059838516467,0.17972250175399562,1.668342213251757,0.02381074973124364,1.0989455634000145,0.3717528177885445,0.2631507829344013,0.07539550384724025,1.0378581482693134,1.6863339940123576,0.1385453998261772,1.4757210530640679,0.886889729936776,1.9526117598960822,1.9411606262709407,0.19683030653243794,0.709543944347687,1.9279523548503408,0.15786165560843446,0.3610168004894696,1.4867147396901361,1.2967260111723542,0.6696298715046758,1.507317191394628,0.6930489421192361,1.734733135311013,0.5365652890973991,0.08649857865107324,0.48685409539915137,1.0003551655135996,1.4914613355803812,0.5625263471176984,0.42566124233542046,0.0479587695520487,1.7342223827031367,0.009622989976735719,1.0678759706774827,0.011390797479154502,1.288602604420545,0.8399595407654066,0.7561951800226758,1.3971667327386261,1.0826379096161107,0.02294109376048148,0.5802050355769175,1.3665574017667128,1.550956091428162,0.7958884759566593,1.2984100835713144,1.0456766001756355,0.5793273626142572,0.6130732307078206,1.9704152409694002,0.084291769864969,1.967155689100791,1.5983704477127905,0.47122550559025234,1.9000159724164902,1.3600268752864477,1.2048711027354755,1.1824249598319738,0.5169768853853045,1.962328251867976,0.5860996178531466,1.0933384104686994,0.5059344440593168,1.1322411303577742,0.6366248802414558,0.10479331265133318,0.5037431443944436,0.4284855680839943,0.36005193843254313,1.0715657490977404,0.28077636931429373,0.1175661993448327,1.0720660001725644,0.18417863889849762,1.7889781930560433"
